protease,uniprot_id,seq_len
C01.034,O15511,151
C01.034,O43169,150
C01.034,O43768,121
C01.034,O75506,76
C01.034,P00441,154
C01.034,P01034,146
C01.034,P01317,105
C01.034,P02818,100
C01.034,P03973,132
C01.034,P04080,98
C01.034,P05386,114
C01.034,P05387,115
C01.034,P07737,140
C01.034,P08708,135
C01.034,P09382,135
C01.034,P14174,115
C01.034,P15531,152
C01.034,P16949,149
C01.034,P17096,107
C01.034,P22392,152
C01.034,P25398,132
C01.034,P29373,138
C01.034,P30046,118
C01.034,P39019,145
C01.034,P46776,148
C01.034,P47914,159
C01.034,P49773,126
C01.034,P53803,58
C01.034,P53999,127
C01.034,P56211,112
C01.034,P60660,151
C01.034,P60866,119
C01.034,P61077,147
C01.034,P61088,152
C01.034,P61353,136
C01.034,P61457,104
C01.034,P61604,102
C01.034,P61916,151
C01.034,P61970,127
C01.034,P62263,151
C01.034,P62269,152
C01.034,P62277,151
C01.034,P62306,86
C01.034,P62805,103
C01.034,P62829,140
C01.034,P62841,145
C01.034,P62847,133
C01.034,P62861,133
C01.034,P62888,115
C01.034,P62899,125
C01.034,P62910,135
C01.034,P62979,156
C01.034,P63220,83
C01.034,P63241,154
C01.034,P68036,154
C01.034,Q01469,135
C01.034,Q01629,132
C01.034,Q13404,147
C01.034,Q14019,142
C01.034,Q15369,112
C01.034,Q15370,118
C01.034,Q15836,100
C01.034,Q6IS14,154
C01.034,Q71DI3,136
C01.034,Q71UI9,128
C01.034,Q86WQ0,139
C01.034,Q93077,130
C01.034,Q969Q0,106
C01.034,Q96C90,147
C01.034,Q99878,128
C01.034,Q99879,126
C01.034,Q9GZT3,109
C01.034,Q9GZV4,153
C01.034,Q9H3K6,86
C01.034,Q9NZ81,148
C01.034,Q9UK76,154
C01.034,Q9UNX3,145
C01.034,Q9Y333,95
C01.034,Q9Y3B4,125
C01.034,Q9Y5L4,95
C01.034,Q9Y6H1,151
