protease,uniprot_id,seq_len
C01.060,O43768,121
C01.060,O75531,89
C01.060,P00441,154
C01.060,P01317,105
C01.060,P02818,100
C01.060,P03973,132
C01.060,P05386,114
C01.060,P05387,115
C01.060,P07737,140
C01.060,P08708,135
C01.060,P09455,135
C01.060,P0DJI8,122
C01.060,P14174,115
C01.060,P18077,110
C01.060,P22392,152
C01.060,P30046,118
C01.060,P41567,113
C01.060,P53999,127
C01.060,P58546,118
C01.060,P62829,140
C01.060,P62847,133
C01.060,P62942,108
C01.060,P68036,154
C01.060,P78556,96
C01.060,P83881,106
C01.060,Q01469,135
C01.060,Q8NHW4,92
C01.060,Q9BRA2,123
C01.060,Q9NRX4,125
