protease,uniprot_id,seq_len
C13.004,O00479,90
C13.004,O14737,125
C13.004,O15511,151
C13.004,O43768,121
C13.004,O60869,148
C13.004,O75347,108
C13.004,O75368,114
C13.004,P00441,154
C13.004,P00698,147
C13.004,P00711,142
C13.004,P01034,146
C13.004,P01317,105
C13.004,P04080,98
C13.004,P05114,100
C13.004,P05204,90
C13.004,P05387,115
C13.004,P06454,111
C13.004,P07737,140
C13.004,P08708,135
C13.004,P0CE72,109
C13.004,P10599,105
C13.004,P10606,129
C13.004,P12074,109
C13.004,P14174,115
C13.004,P14927,111
C13.004,P16949,149
C13.004,P18077,110
C13.004,P20962,102
C13.004,P22392,152
C13.004,P26447,101
C13.004,P31949,105
C13.004,P37108,136
C13.004,P39019,145
C13.004,P41567,113
C13.004,P46776,148
C13.004,P46779,137
C13.004,P47914,159
C13.004,P49459,152
C13.004,P49773,126
C13.004,P51397,102
C13.004,P60660,151
C13.004,P60983,142
C13.004,P61088,152
C13.004,P61218,127
C13.004,P61254,145
C13.004,P61353,136
C13.004,P61769,119
C13.004,P61956,95
C13.004,P62244,130
C13.004,P62269,152
C13.004,P62277,151
C13.004,P62280,158
C13.004,P62308,76
C13.004,P62316,118
C13.004,P62318,126
C13.004,P62328,44
C13.004,P62750,156
C13.004,P62805,103
C13.004,P62829,140
C13.004,P62851,125
C13.004,P62861,133
C13.004,P62888,115
C13.004,P62891,51
C13.004,P62899,125
C13.004,P62910,135
C13.004,P62987,128
C13.004,P63220,83
C13.004,P63279,158
C13.004,P63313,44
C13.004,P68036,154
C13.004,P69905,142
C13.004,P84214,14
C13.004,P98179,157
C13.004,P99999,105
C13.004,Q04837,148
C13.004,Q13404,147
C13.004,Q14019,142
C13.004,Q14657,143
C13.004,Q16777,129
C13.004,Q59GN2,51
C13.004,Q5JNZ5,115
C13.004,Q6FI13,130
C13.004,Q7Z422,152
C13.004,Q8IUE6,130
C13.004,Q8NI22,146
C13.004,Q8WVX3,66
C13.004,Q93077,130
C13.004,Q96GX2,97
C13.004,Q96K17,158
C13.004,Q96QV6,131
C13.004,Q99878,128
C13.004,Q99879,126
C13.004,Q9BV40,100
C13.004,Q9BW61,102
C13.004,Q9H299,93
C13.004,Q9NRF9,147
C13.004,Q9NS69,142
C13.004,Q9P1F3,81
C13.004,Q9UHV9,154
C13.004,Q9UK76,154
