protease,uniprot_id,seq_len
A01.010,O08997,68
A01.010,O54962,89
A01.010,O55142,110
A01.010,O70591,154
A01.010,O89086,153
A01.010,P01308,110
A01.010,P01317,105
A01.010,P01501,70
A01.010,P03968,155
A01.010,P03969,155
A01.010,P07091,101
A01.010,P08611,12
A01.010,P0C0S6,128
A01.010,P10853,126
A01.010,P10854,126
A01.010,P15532,152
A01.010,P16254,110
A01.010,P20366,129
A01.010,P26883,108
A01.010,P27005,89
A01.010,P27661,143
A01.010,P31725,113
A01.010,P31786,87
A01.010,P34884,115
A01.010,P48428,108
A01.010,P50543,98
A01.010,P56812,126
A01.010,P61089,152
A01.010,P62270,152
A01.010,P62315,119
A01.010,P62774,118
A01.010,P62830,140
A01.010,P62843,145
A01.010,P62849,133
A01.010,P62852,125
A01.010,P62876,67
A01.010,P62878,108
A01.010,P62889,115
A01.010,P62900,125
A01.010,P62934,11
A01.010,P62962,140
A01.010,P63242,154
A01.010,P63276,135
A01.010,P63323,132
A01.010,P67984,128
A01.010,P68037,154
A01.010,P70349,126
A01.010,P83940,112
A01.010,P99027,115
A01.010,Q01768,152
A01.010,Q3TGF2,131
A01.010,Q3THW5,128
A01.010,Q4KML4,81
A01.010,Q60605,151
A01.010,Q62084,147
A01.010,Q62426,98
A01.010,Q64475,126
A01.010,Q64478,126
A01.010,Q64522,130
A01.010,Q64523,129
A01.010,Q64524,126
A01.010,Q64525,126
A01.010,Q6GSS7,130
A01.010,Q6PGH1,144
A01.010,Q6ZWV7,123
A01.010,Q6ZWY9,126
A01.010,Q8BFU2,130
A01.010,Q8BGB5,128
A01.010,Q8BGS2,86
A01.010,Q8CGP0,126
A01.010,Q8CGP1,126
A01.010,Q8CGP2,126
A01.010,Q8CGP5,130
A01.010,Q8CGP6,128
A01.010,Q8CGP7,130
A01.010,Q8R1M2,129
A01.010,Q923D4,86
A01.010,Q9CPW4,151
A01.010,Q9CQI3,142
A01.010,Q9CQX2,146
A01.010,Q9D0T1,128
A01.010,Q9D2U9,126
A01.010,Q9D7A6,144
A01.010,Q9DCG9,125
A01.010,Q9ERL7,142
A01.010,Q9JIX0,101
A01.010,Q9JJU8,114
A01.010,Q9WVA2,97
