protease,uniprot_id,seq_len
C14.004,O00422,153
C14.004,O95777,96
C14.004,P06454,111
C14.004,P08708,135
C14.004,P09382,135
C14.004,P12074,109
C14.004,P15531,152
C14.004,P22392,152
C14.004,P25398,132
C14.004,P37108,136
C14.004,P39019,145
C14.004,P41105,137
C14.004,P54227,149
C14.004,P61604,102
C14.004,P61966,158
C14.004,P62269,152
C14.004,P62270,152
C14.004,P62306,86
C14.004,P62750,156
C14.004,P62805,103
C14.004,P63241,154
C14.004,Q14019,142
C14.004,Q8IXM3,137
C14.004,Q8NI22,146
C14.004,Q8WVJ2,157
C14.004,Q9CPW4,151
C14.004,Q9CR98,138
