protease,uniprot_id,seq_len
M10.003,A2A6G9,129
M10.003,A6NHG4,134
M10.003,A8K355,144
M10.003,A8KAJ8,68
M10.003,B1ATY1,153
M10.003,B2R4B3,148
M10.003,B2R4M7,125
M10.003,B2R4V4,89
M10.003,D3Z513,152
M10.003,O14561,156
M10.003,O14942,130
M10.003,O15212,129
M10.003,O54962,89
M10.003,O60814,126
M10.003,O60925,122
M10.003,O70591,154
M10.003,O88653,124
M10.003,O89086,153
M10.003,O95325,115
M10.003,P00441,154
M10.003,P01034,146
M10.003,P04908,130
M10.003,P05204,90
M10.003,P05386,114
M10.003,P05387,115
M10.003,P06703,90
M10.003,P06899,126
M10.003,P07108,87
M10.003,P07737,140
M10.003,P08207,97
M10.003,P08708,135
M10.003,P09382,135
M10.003,P09602,90
M10.003,P0C0S5,128
M10.003,P0C0S8,130
M10.003,P0DJI9,122
M10.003,P10092,127
M10.003,P10599,105
M10.003,P11031,127
M10.003,P14174,115
M10.003,P16045,135
M10.003,P16104,143
M10.003,P17095,107
M10.003,P20065,50
M10.003,P20671,130
M10.003,P20674,150
M10.003,P21126,157
M10.003,P21460,140
M10.003,P23527,126
M10.003,P26883,108
M10.003,P27005,89
M10.003,P28001,130
M10.003,P30046,118
M10.003,P31949,105
M10.003,P33778,126
M10.003,P34884,115
M10.003,P35754,106
M10.003,P41567,113
M10.003,P42766,123
M10.003,P48061,93
M10.003,P48298,97
M10.003,P48428,108
M10.003,P49459,152
M10.003,P49773,126
M10.003,P50228,132
M10.003,P53999,127
M10.003,P56391,86
M10.003,P56395,134
M10.003,P57053,126
M10.003,P58546,118
M10.003,P58876,126
M10.003,P61604,102
M10.003,P61916,151
M10.003,P61970,127
M10.003,P62263,151
M10.003,P62264,151
M10.003,P62270,152
M10.003,P62280,158
M10.003,P62304,92
M10.003,P62306,86
M10.003,P62308,76
M10.003,P62317,118
M10.003,P62320,126
M10.003,P62627,96
M10.003,P62805,103
M10.003,P62807,126
M10.003,P62829,140
M10.003,P62841,145
M10.003,P62858,69
M10.003,P63146,152
M10.003,P63172,113
M10.003,P63173,70
M10.003,P63220,83
M10.003,P63242,154
M10.003,P63276,135
M10.003,P63313,44
M10.003,P67984,128
M10.003,P68036,154
M10.003,P70349,126
M10.003,P80098,99
M10.003,P80297,61
M10.003,P99027,115
M10.003,Q01768,152
M10.003,Q03366,97
M10.003,Q04837,148
M10.003,Q0VDC6,145
M10.003,Q14579,30
M10.003,Q15726,138
M10.003,Q15843,81
M10.003,Q15905,74
M10.003,Q16777,129
M10.003,Q16778,126
M10.003,Q49A90,95
M10.003,Q59EB5,134
M10.003,Q5NT82,41
M10.003,Q5QNW6,126
M10.003,Q62084,147
M10.003,Q6FI13,130
M10.003,Q6GMV3,140
M10.003,Q6NZ52,148
M10.003,Q6ZQU3,143
M10.003,Q6ZR81,135
M10.003,Q6ZWM4,96
M10.003,Q6ZWU9,84
M10.003,Q70T18,157
M10.003,Q71UI9,128
M10.003,Q7L7L0,130
M10.003,Q80Y14,152
M10.003,Q8BT23,97
M10.003,Q8IUE6,130
M10.003,Q8K3I3,132
M10.003,Q8N257,126
M10.003,Q8N5G0,67
M10.003,Q8NB80,137
M10.003,Q8R1M2,129
M10.003,Q8VC85,133
M10.003,Q91VW3,93
M10.003,Q923D4,86
M10.003,Q93077,130
M10.003,Q93079,126
M10.003,Q96A08,127
M10.003,Q96C01,138
M10.003,Q96K17,158
M10.003,Q96KK5,128
M10.003,Q96QV6,131
M10.003,Q99471,154
M10.003,Q99877,126
M10.003,Q99878,128
M10.003,Q99879,126
M10.003,Q99880,126
M10.003,Q9CPW4,151
M10.003,Q9CQ92,152
M10.003,Q9CQI6,142
M10.003,Q9CQR2,83
M10.003,Q9CQZ1,76
M10.003,Q9CR41,121
M10.003,Q9CZX8,145
M10.003,Q9D0J8,101
M10.003,Q9D6V8,124
M10.003,Q9DCG9,125
M10.003,Q9GZV4,153
M10.003,Q9H299,93
M10.003,Q9H351,81
M10.003,Q9H8K0,133
M10.003,Q9HB66,63
M10.003,Q9JJU8,114
M10.003,Q9JKP7,145
M10.003,Q9NQS8,158
M10.003,Q9NRX4,125
M10.003,Q9NSY3,55
M10.003,Q9WUZ6,93
M10.003,Q9WVA2,97
M10.003,Q9Y2V2,147
M10.003,Q9Y333,95
M10.003,Q9Y3D7,125
