protease,uniprot_id,seq_len
C01.036,O43169,150
C01.036,O75347,108
C01.036,O75368,114
C01.036,P00441,154
C01.036,P04080,98
C01.036,P04908,130
C01.036,P05114,100
C01.036,P05386,114
C01.036,P05387,115
C01.036,P07737,140
C01.036,P08708,135
C01.036,P09382,135
C01.036,P0C0S5,128
C01.036,P0C0S8,130
C01.036,P10599,105
C01.036,P13164,125
C01.036,P13987,128
C01.036,P15531,152
C01.036,P16104,143
C01.036,P19957,117
C01.036,P20671,130
C01.036,P25398,132
C01.036,P28001,130
C01.036,P37108,136
C01.036,P39019,145
C01.036,P46776,148
C01.036,P46779,137
C01.036,P49773,126
C01.036,P53999,127
C01.036,P55854,103
C01.036,P60660,151
C01.036,P60866,119
C01.036,P60983,142
C01.036,P61088,152
C01.036,P61326,146
C01.036,P61956,95
C01.036,P62249,146
C01.036,P62263,151
C01.036,P62269,152
C01.036,P62277,151
C01.036,P62306,86
C01.036,P62314,119
C01.036,P62316,118
C01.036,P62318,126
C01.036,P62750,156
C01.036,P62805,103
C01.036,P62829,140
C01.036,P62841,145
C01.036,P62847,133
C01.036,P62851,125
C01.036,P62888,115
C01.036,P62899,125
C01.036,P62979,156
C01.036,P63241,154
C01.036,P68036,154
C01.036,P98179,157
C01.036,Q13404,147
C01.036,Q14019,142
C01.036,Q15121,130
C01.036,Q15369,112
C01.036,Q15819,145
C01.036,Q15836,100
C01.036,Q16777,129
C01.036,Q16778,126
C01.036,Q5VUM1,108
C01.036,Q6EEV6,95
C01.036,Q6FI13,130
C01.036,Q6NS35,67
C01.036,Q6NSH7,111
C01.036,Q6W6M8,151
C01.036,Q6ZSP7,147
C01.036,Q71DI3,136
C01.036,Q71UI9,128
C01.036,Q7L7L0,130
C01.036,Q8IUE6,130
C01.036,Q93077,130
C01.036,Q96FJ2,89
C01.036,Q96KK5,128
C01.036,Q96QV6,131
C01.036,Q99878,128
C01.036,Q9UHV9,154
C01.036,Q9UNX3,145
C01.036,Q9Y3U8,105
